wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.332,0.8708,0.8751,0.974987737912539
0,271.46,270.207,0.9185,0.9246,0.4888042297828513
0,271.46,270.336,0.8629,0.8671,0.9887230093864877
0,271.46,270.268,0.9331,0.9387,0.42550213375617574
0,271.46,270.367,0.8658,0.8696,1.0206470099371345
0,271.46,270.251,0.9212,0.9269,0.5045894367597497
0,271.46,270.386,0.8697,0.8733,0.9926705347901679
0,271.46,270.249,0.9262,0.9319,0.4577959853772695
0,271.46,270.38,0.8591,0.8627,1.0560731748354435
0,271.46,270.265,0.9222,0.9278,0.5073487888320681
0,271.46,270.396,0.874,0.8776,0.9701258329806816
0,271.46,270.322,0.9361,0.9412,0.37937154889794167
0,271.46,270.393,0.8538,0.8572,1.0776834596931675
0,271.46,270.274,0.9235,0.929,0.5097731641284231
0,271.46,270.395,0.8759,0.8795,0.9582257447752293
0,271.46,270.496,0.9574,0.9609,0.264598257304992
0,271.46,270.415,0.8558,0.859,1.079266671085437
0,271.46,270.287,0.9252,0.9305,0.5077337317024673
0,271.46,270.398,0.8776,0.8812,0.9546044775738913
0,271.46,270.443,0.9545,0.9584,0.30555194689317966
0,271.46,270.413,0.8553,0.8585,1.0784000142760268
0,271.46,270.293,0.9258,0.931,0.5047166463573187
0,271.46,270.396,0.8785,0.8822,0.9519914547781353
0,271.46,270.383,0.9501,0.9546,0.3359501970601582
0,271.46,270.402,0.8541,0.8574,1.0819741196025148
0,271.46,270.296,0.9254,0.9306,0.5059454043939572
0,271.46,270.385,0.8778,0.8816,0.9538113932892476
0,271.46,270.344,0.9467,0.9516,0.3491338530486965
0,271.46,270.393,0.8542,0.8576,1.0831540332325515
0,271.46,270.296,0.9238,0.929,0.5151700121856088
0,271.46,270.374,0.8768,0.8807,0.957496341768086
0,271.46,270.309,0.9432,0.9485,0.34852559232765523
0,271.46,270.393,0.8559,0.8594,1.0832024697526679
0,271.46,270.297,0.9206,0.9258,0.5313465352592373
0,271.46,270.362,0.8761,0.8801,0.9602610473505223
0,271.46,270.258,0.9389,0.9447,0.3399069508955658
0,271.46,270.391,0.8553,0.8588,1.088014306618468
0,271.46,270.314,0.9184,0.9233,0.5486348039340652
0,271.46,270.36,0.8751,0.8791,0.9608295391392575
0,271.46,270.258,0.9391,0.9449,0.3158429229145529
0,271.46,270.391,0.8544,0.8578,1.0969929078737388
0,271.46,270.334,0.9155,0.9202,0.5717566141342865
0,271.46,270.375,0.8731,0.8769,0.9682008127138216
0,271.46,270.335,0.9451,0.9501,0.2836328919661658
0,271.46,270.392,0.8513,0.8547,1.1067946750419357
0,271.46,270.351,0.9126,0.9171,0.5943586239949423
0,271.46,270.39,0.8711,0.8747,0.975832164908506
0,271.46,270.375,0.9484,0.953,0.26901913497473656
0,271.46,270.405,0.8523,0.8556,1.114691102466184
0,271.46,270.361,0.9083,0.9126,0.6219024335527422
0,271.46,270.415,0.8692,0.8726,0.9904561700478759
0,271.46,270.36,0.9472,0.952,0.2880495887994371
0,271.46,270.408,0.8505,0.8538,1.121403384438111
0,271.46,270.365,0.9012,0.9054,0.6583317952613789
0,271.461,270.434,0.8647,0.8678,1.0084681823048647
0,271.46,270.363,0.9468,0.9515,0.30388833087751677
0,271.594,270.534,0.85,0.8543,1.1293686427067349
0,271.462,270.399,0.9029,0.9068,0.669653194515966
0,271.849,270.79,0.8632,0.8675,0.999891094308454
0,271.682,270.57,0.9437,0.9489,0.32005950044102727
0,272.68,271.488,0.849,0.8539,1.1389246072817933
0,273.022,271.877,0.9096,0.9147,0.6517214849107494
0,272.596,271.466,0.868,0.8723,0.9576187586994539
0,272.756,271.65,0.9452,0.9502,0.3342001600954454
0,273.676,272.372,0.8489,0.8543,1.1495551488020883
0,273.504,272.334,0.9134,0.9183,0.6382140690245904
0,273.187,272.015,0.8746,0.8796,0.899150780337832
0,273.474,272.366,0.9454,0.9499,0.35052454201995586
0,273.606,272.316,0.8457,0.851,1.1619842147930233
0,273.454,272.348,0.9222,0.9265,0.5994225347085906
0,273.283,272.139,0.8822,0.8868,0.8461015739319745
0,273.441,272.352,0.9451,0.9494,0.3784443719312915
0,271.46,270.331,0.8709,0.8752,0.9811222996640035
0,271.46,270.224,0.9224,0.9284,0.4732089449506203
0,271.46,270.362,0.8575,0.8613,1.0497836162196061
0,271.46,270.274,0.9344,0.9399,0.42957839833174427
0,271.46,270.355,0.8649,0.8688,1.0282818801527536
0,271.46,270.262,0.9242,0.9298,0.48573870791758667
0,271.46,270.425,0.8588,0.8619,1.0822628522482196
0,271.46,270.246,0.9259,0.9317,0.46829651308040987
0,271.46,270.37,0.8615,0.8653,1.050822910983873
0,271.46,270.28,0.9257,0.9311,0.4885021388547567
0,271.46,270.422,0.8617,0.8649,1.0722874274089522
0,271.46,270.248,0.9217,0.9274,0.4832539654214233
0,271.46,270.372,0.8583,0.8621,1.0625880907343488
0,271.46,270.279,0.9256,0.9311,0.4935968959838477
0,271.46,270.43,0.8654,0.8685,1.0674399004756976
0,271.46,270.349,0.9391,0.9439,0.38099886301642255
0,271.46,270.366,0.8566,0.8604,1.0665470369596142
0,271.46,270.273,0.9252,0.9307,0.4990421805611499
0,271.46,270.428,0.8659,0.8691,1.064639504825807
0,271.46,270.493,0.9563,0.9598,0.27691959027802565
0,271.46,270.362,0.8594,0.8632,1.0611130202464654
0,271.46,270.277,0.9261,0.9315,0.4974042613940541
0,271.46,270.423,0.8671,0.8703,1.0583962923118495
0,271.46,270.467,0.9549,0.9585,0.30060810776360936
0,271.46,270.348,0.86,0.864,1.0575683337327222
0,271.46,270.289,0.9273,0.9327,0.4870296686432166
0,271.46,270.422,0.8686,0.8719,1.0468875202031271
0,271.46,270.367,0.9472,0.9519,0.36291021908602844
0,271.46,270.342,0.8612,0.8653,1.0559429060892351
0,271.46,270.3,0.9282,0.9334,0.47697526678325425
0,271.46,270.425,0.8706,0.8739,1.0255726471323032
0,271.46,270.331,0.9431,0.9482,0.37236018416074806
0,271.46,270.339,0.8606,0.8647,1.0618534871745193
0,271.46,270.306,0.9277,0.9329,0.47318829569730747
0,271.46,270.429,0.8721,0.8754,1.0045715407402118
0,271.46,270.271,0.935,0.9406,0.3888732135846594
0,271.46,270.346,0.8605,0.8645,1.070737764680089
0,271.46,270.314,0.9257,0.9307,0.47870368576425176
0,271.46,270.418,0.8708,0.8742,0.9990523267374687
0,271.46,270.268,0.9353,0.941,0.3359492283297559
0,271.46,270.36,0.8609,0.8648,1.0782428760076073
0,271.46,270.341,0.924,0.9287,0.4949477650369903
0,271.46,270.411,0.8679,0.8713,1.0088122855409343
0,271.46,270.265,0.9383,0.944,0.31063502827163203
0,271.46,270.36,0.8573,0.8612,1.0882664314521269
0,271.46,270.36,0.9202,0.9247,0.5266698617774673
0,271.46,270.427,0.8636,0.8668,1.0247249570444545
0,271.46,270.354,0.9463,0.9511,0.28041063971896624
0,271.46,270.366,0.8559,0.8596,1.0990116910463816
0,271.46,270.384,0.918,0.9221,0.5523718089255761
0,271.46,270.456,0.8622,0.8653,1.040183905819011
0,271.46,270.414,0.9515,0.9557,0.2604586173667868
0,271.477,270.378,0.8538,0.8576,1.1154800569001648
0,271.46,270.407,0.9178,0.9217,0.5650290364191647
0,271.461,270.478,0.8597,0.8628,1.0525148241244462
0,271.465,270.424,0.9514,0.9555,0.26946398617264816
0,272.473,271.259,0.8537,0.8586,1.1250322485252353
0,271.523,270.458,0.9102,0.9142,0.6108168436724061
0,271.855,270.836,0.8559,0.8598,1.066829090464124
0,271.88,270.796,0.9467,0.9515,0.30642334538297994
0,273.363,272.045,0.8502,0.8563,1.1309861165637602
0,273.383,272.174,0.8992,0.9045,0.6609078533444144
0,273.077,271.917,0.8529,0.8578,1.0797673517460091
0,272.795,271.696,0.9459,0.9508,0.3278246394028543
0,273.574,272.258,0.8526,0.8584,1.1230833159131814
0,273.439,272.281,0.9068,0.9115,0.6449199777701866
0,273.559,272.347,0.8524,0.857,1.0825825332809877
0,273.273,272.191,0.9469,0.9513,0.34045509934585205
0,273.767,272.457,0.8549,0.8606,1.1133030137712674
0,273.519,272.363,0.9114,0.9161,0.6264220707377136
0,273.527,272.339,0.8532,0.8576,1.0752507737096768
0,273.681,272.596,0.9462,0.951,0.3555313486256774
0,271.46,270.303,0.873,0.8776,0.9674800263086784
0,271.46,270.203,0.9224,0.9286,0.46806243722372065
0,271.46,270.336,0.8628,0.8669,1.0637065664625536
0,271.46,270.282,0.9351,0.9406,0.43926162349018283
0,271.46,270.337,0.8677,0.8719,1.008022923220468
0,271.46,270.257,0.9256,0.9312,0.4760506391071365
0,271.46,270.458,0.8536,0.8567,1.1388762217474877
0,271.46,270.239,0.9249,0.9307,0.4803125940050884
0,271.46,270.336,0.8645,0.8686,1.0327943283384236
0,271.46,270.298,0.9289,0.9342,0.4689179791264092
0,271.46,270.468,0.8519,0.8549,1.1517806794369128
0,271.46,270.252,0.9191,0.9247,0.5109711267354295
0,271.46,270.327,0.8634,0.8677,1.0434376163113805
0,271.46,270.322,0.9319,0.9369,0.46712378844967456
0,271.46,270.463,0.8509,0.8539,1.1530552737173243
0,271.46,270.249,0.9217,0.9274,0.4874138977122667
0,271.46,270.326,0.8651,0.8694,1.0350643695859447
