,L8_filename,DateTime,L8_SST,L8_SST_std,L8_SST_noqc,L8_SST_raw,L8_pix
0,LC08_L1GT_001113_20131012_20201016_02_T2_145342,2013-10-12 14:53:42,,,-10.67,-14.54,0
1,LC08_L1GT_001113_20131028_20201016_02_T2_145332,2013-10-28 14:53:32,,,-6.04,-8.54,0
2,LC08_L1GT_001113_20131113_20201016_02_T2_145333,2013-11-13 14:53:33,,,-4.53,-6.57,0
3,LC08_L1GT_001113_20140217_20201016_02_T2_145239,2014-02-17 14:52:39,-1.41,0.22,-1.73,-2.93,9174
4,LC08_L1GT_001113_20140305_20200911_02_T2_145224,2014-03-05 14:52:24,-1.85,0.03,-2.24,-3.6,2922
5,LC08_L1GT_001113_20141202_20201016_02_T2_145201,2014-12-02 14:52:01,,,-4.23,-6.18,0
6,LC08_L1GT_001113_20141218_20201016_02_T2_145157,2014-12-18 14:51:57,-1.84,0.03,-2.11,-3.43,264
7,LC08_L1GT_001113_20150119_20201016_02_T2_145149,2015-01-19 14:51:49,,,-3.1,-4.71,0
8,LC08_L1GT_001113_20150204_20201016_02_T2_145146,2015-02-04 14:51:46,-1.82,0.04,-2.04,-3.34,4
9,LC08_L1GT_001113_20151103_20201016_02_T2_145157,2015-11-03 14:51:57,,,-6.25,-8.8,0
10,LC08_L1GT_001113_20160106_20201016_02_T2_145154,2016-01-06 14:51:54,-0.76,0.16,-0.77,-1.68,1291
11,LC08_L1GT_001113_20160207_20201016_02_T2_145151,2016-02-07 14:51:51,,,-5.49,-7.82,0
12,LC08_L1GT_001113_20160310_20200907_02_T2_145142,2016-03-10 14:51:42,,,-4.23,-6.18,0
13,LC08_L1GT_001113_20160326_20200907_02_T2_145133,2016-03-26 14:51:33,,,-15.24,-20.47,0
14,LC08_L1GT_001113_20161105_20201016_02_T2_145210,2016-11-05 14:52:10,,,-8.31,-11.48,0
15,LC08_L1GT_001113_20170921_20200903_02_T2_145200,2017-09-21 14:52:00,,,-13.99,-18.85,0
16,LC08_L1GT_001113_20171007_20201016_02_T2_145206,2017-10-07 14:52:06,,,-8.13,-11.24,0
17,LC08_L1GT_001113_20171210_20201016_02_T2_145159,2017-12-10 14:51:59,,,-3.37,-5.06,0
18,LC08_L1GT_001113_20171226_20201016_02_T2_145201,2017-12-26 14:52:01,-1.53,0.18,-2.26,-3.62,530
19,LC08_L1GT_001113_20180127_20201016_02_T2_145146,2018-01-27 14:51:46,,,-5.33,-7.61,0
20,LC08_L1GT_001113_20180228_20201016_02_T2_145132,2018-02-28 14:51:32,,,-12.21,-16.54,0
21,LC08_L1GT_001113_20181213_20201016_02_T2_145142,2018-12-13 14:51:42,,,-4.64,-6.72,0
22,LC08_L1GT_001113_20190130_20201016_02_T2_145136,2019-01-30 14:51:36,,,-6.6,-9.26,0
23,LC08_L1GT_001113_20190303_20200829_02_T2_145130,2019-03-03 14:51:30,,,-9.16,-12.59,0
24,LC08_L1GT_001113_20190927_20200825_02_T2_145210,2019-09-27 14:52:10,,,-20.94,-27.88,0
25,LC08_L1GT_001113_20191114_20201016_02_T2_145211,2019-11-14 14:52:11,,,-10.79,-14.7,0
26,LC08_L1GT_001113_20200202_20201016_02_T2_145154,2020-02-02 14:51:54,,,-7.29,-10.15,0
27,LC08_L1GT_001113_20200929_20201007_02_T2_145209,2020-09-29 14:52:09,,,-26.79,-35.48,0
28,LC08_L1GT_001113_20201116_20210315_02_T2_145208,2020-11-16 14:52:08,,,-6.97,-9.74,0
29,LC08_L1GT_001113_20210119_20210307_02_T2_145158,2021-01-19 14:51:58,-1.71,0.12,-3.3,-4.97,115
30,LC08_L1GT_001114_20131012_20201016_02_T2_145406,2013-10-12 14:54:06,,,-9.35,-12.83,0
31,LC08_L1GT_001114_20131028_20201016_02_T2_145356,2013-10-28 14:53:56,,,-6.01,-8.5,0
32,LC08_L1GT_001114_20140217_20201016_02_T2_145303,2014-02-17 14:53:03,-1.41,0.22,-1.72,-2.93,9182
33,LC08_L1GT_001114_20140305_20200911_02_T2_145248,2014-03-05 14:52:48,-1.85,0.03,-2.23,-3.58,2951
