DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_SST,L8_pix,time_dif
2021-09-23 14:57:55,20210923142000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002112_20210923_20210930_02_T2_145755_Cel.tif,,0,0 days 00:37:55
2021-10-09 14:58:01,20211009142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002112_20211009_20211019_02_T2_145801_Cel.tif,,0,0 days 00:38:00
2021-11-10 14:58:00,20211110142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.693880949909116,163542,LC08_L1GT_002112_20211110_20211117_02_T2_145800_Cel.tif,-2.789130055804875,163542,0 days 00:37:59
2021-11-26 14:57:58,20211126142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_002112_20211126_20211201_02_T2_145758_Cel.tif,,0,0 days 00:37:57
2021-12-28 14:57:53,20211228142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.3013182097492797,1650,LC08_L1GT_002112_20211228_20220105_02_T2_145753_Cel.tif,-2.5981463438770174,1650,0 days 00:37:52
2022-02-14 14:57:41,20220214141500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_002112_20220214_20220222_02_T2_145741_Cel.tif,,0,0 days 00:42:41
2022-11-29 14:58:11,20221129143000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.4278177279362358,328547,LC08_L1GT_002112_20221129_20221206_02_T2_145811_Cel.tif,-2.314630917737612,328547,0 days 00:28:11
2023-01-16 14:57:54,20230116144000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.2539407378791552,45688,LC08_L1GT_002112_20230116_20230131_02_T2_145754_Cel.tif,-1.6648829318399,45688,0 days 00:17:54
2023-02-01 14:58:00,20230201141001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.6326411371756193,563,LC08_L1GT_002112_20230201_20230209_02_T2_145800_Cel.tif,-2.578619113870052,563,0 days 00:47:59
2023-02-17 14:57:50,20230217152001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.7097485931945235,12565,LC08_L1GT_002112_20230217_20230223_02_T2_145750_Cel.tif,-3.1972826662024865,12565,0 days 00:22:11
2023-03-21 14:57:29,20230321141501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002112_20230321_20230325_02_T2_145729_Cel.tif,,0,0 days 00:42:28
2023-04-06 14:57:17,20230406152501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002112_20230406_20230412_02_T2_145717_Cel.tif,,0,0 days 00:27:44
2021-09-23 14:58:19,20210923142000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002113_20210923_20210930_02_T2_145819_Cel.tif,,0,0 days 00:38:19
2021-10-09 14:58:25,20211009142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002113_20211009_20211019_02_T2_145825_Cel.tif,,0,0 days 00:38:24
